"created_at","pm2p5"
"2020/01/01",152
"2020/01/02",56
"2020/01/03",58
"2020/01/04",43
"2020/01/05",36
"2020/01/06",41
"2020/01/07",48
"2020/01/08",49
"2020/01/09",65
"2020/01/10",75
"2020/01/11",71
"2020/01/12",52
"2020/01/13",63
"2020/01/14",76
"2020/01/15",74
"2020/01/16",76
"2020/01/17",62
"2020/01/18",-999
"2020/01/19",39
"2020/01/20",16
"2020/01/21",34
"2020/01/22",39
"2020/01/23",50
"2020/01/24",71
"2020/01/25",70
"2020/01/26",75
"2020/01/27",78
"2020/01/28",53
"2020/01/29",26
"2020/01/30",37
"2020/01/31",60
"2020/02/01",61
"2020/02/02",30
"2020/02/03",38
"2020/02/04",35
"2020/02/05",17
"2020/02/06",25
"2020/02/07",33
"2020/02/08",46
"2020/02/09",69
"2020/02/10",60
"2020/02/11",29
"2020/02/12",16
"2020/02/13",23
"2020/02/14",33
"2020/02/15",51
"2020/02/16",62
"2020/02/17",44
"2020/02/18",52
"2020/02/19",47
"2020/02/20",17
"2020/02/21",35
"2020/02/22",43
"2020/02/23",38
"2020/02/24",37
"2020/02/25",51
"2020/02/26",30
"2020/02/27",9
"2020/02/28",10
"2020/02/29",21
"2020/03/01",31
"2020/03/02",27
"2020/03/03",21
"2020/03/04",23
"2020/03/05",19
"2020/03/06",23
"2020/03/07",31
"2020/03/08",18
"2020/03/09",24
"2020/03/10",22
"2020/03/11",12
"2020/03/12",19
"2020/03/13",7
"2020/03/14",32
"2020/03/15",19
"2020/03/16",26
"2020/03/17",34
"2020/03/18",40
"2020/03/19",36
"2020/03/20",41
"2020/03/21",25
"2020/03/22",25
"2020/03/23",13
"2020/03/24",15
"2020/03/25",14
"2020/03/26",16
"2020/03/27",-999
"2020/03/28",24
"2020/03/29",24
"2020/03/30",-999
"2020/03/31",-999
"2020/04/01",17
"2020/04/02",27
"2020/04/03",36
"2020/04/04",38
"2020/04/05",25
"2020/04/06",24
"2020/04/07",26
"2020/04/08",22
"2020/04/09",21
"2020/04/10",16
"2020/04/11",16
"2020/04/12",9
"2020/04/13",13
"2020/04/14",13
"2020/04/15",8
"2020/04/16",17
"2020/04/17",8
"2020/04/18",9
"2020/04/19",8
"2020/04/20",18
"2020/04/21",19
"2020/04/22",20
"2020/04/23",24
"2020/04/24",25
"2020/04/25",11
"2020/04/26",7
"2020/04/27",7
"2020/04/28",10
"2020/04/29",8
