created_at,id,location_id,pot_id,pm2p5,pm10,pm1SPS,pm2p5SPS,pm4SPS,pm10SPS,millisSpentMeasuring,millisSpentConnecting,millisSpentSending,voltage,notes,created_at,updated_at,humidity,temperature,firmware_version,rssi_dbm,consecutive_successful_measures,consecutive_failed_measures,temperature_sht,humidity_sht,semver,firmware_version_id,seconds_until_next_measure,anomaly,is_healthy
2020-11-01 00:59:34,1236475,479,1157,12,12.94,10.2,12,12.76,12.94,11322,2947,,4.14,,2020-11-01 00:59:34,2020-11-01 00:59:34,0,0,,-53,8,0,-12.76,29.55,0.3.43,372,3600,0,0
2020-11-01 01:59:34,1236746,479,1157,6,6.55,6.2,6,6.55,6.55,11321,3227,,4.14,,2020-11-01 01:59:34,2020-11-01 01:59:34,0,0,,-53,9,0,-12.76,29.75,0.3.43,372,3600,0,0
2020-11-01 02:59:33,1237168,479,1157,11,12.25,9.7,11,12.08,12.25,11321,3042,,4.14,,2020-11-01 02:59:33,2020-11-01 02:59:33,0,0,,-53,10,0,-12.76,29.95,0.3.43,372,3600,0,0
2020-11-01 03:59:31,1237581,479,1157,6,7.31,4.63,6,7.11,7.31,11321,2999,,4.13,,2020-11-01 03:59:31,2020-11-01 03:59:31,0,0,,-53,11,0,-12.76,30.11,0.3.43,372,3600,0,0
2020-11-01 04:59:31,1237904,479,1157,6,6.18,5.47,6,6.15,6.18,11321,3204,,4.13,,2020-11-01 04:59:31,2020-11-01 04:59:31,0,0,,-53,12,0,-12.76,30.37,0.3.43,372,3600,0,0
2020-11-01 05:59:30,1238284,479,1157,7,8.71,5.03,7,8.43,8.71,11321,3004,,4.13,,2020-11-01 05:59:30,2020-11-01 05:59:30,0,0,,-53,13,0,-12.86,30.41,0.3.43,372,3600,0,0
2020-11-01 06:59:29,1238721,479,1157,6,6.13,5.8,6,6.13,6.13,11321,2981,,4.12,,2020-11-01 06:59:29,2020-11-01 06:59:29,0,0,,-53,14,0,-12.76,30.65,0.3.43,372,3600,0,0
2020-11-01 07:59:29,1239108,479,1157,10,10.26,9.7,10,10.26,10.26,11321,3080,,4.12,,2020-11-01 07:59:29,2020-11-01 07:59:29,0,0,,-53,15,0,-12.9,30.75,0.3.43,372,3600,0,0
2020-11-01 08:59:30,1239470,479,1157,7,7.43,7.03,7,7.43,7.43,11321,3184,,4.12,,2020-11-01 08:59:30,2020-11-01 08:59:30,0,0,,-53,16,0,-12.76,30.84,0.3.43,372,3600,0,0
2020-11-01 09:59:32,1239824,479,1157,6,6.46,6.11,6,6.46,6.46,11321,4234,,4.13,,2020-11-01 09:59:32,2020-11-01 09:59:32,0,0,,-53,17,0,-12.76,30.71,0.3.43,372,3600,0,0
2020-11-01 10:59:41,1240193,479,1157,7,7.41,6.54,7,7.37,7.41,11321,3058,,4.14,,2020-11-01 10:59:41,2020-11-01 10:59:41,0,0,,-53,18,0,-11.03,29.77,0.3.43,372,3600,0,0
2020-11-01 11:59:52,1240679,479,1157,5,4.89,4.62,5,4.89,4.89,11322,3003,,4.16,,2020-11-01 11:59:52,2020-11-01 11:59:52,0,0,,-52,19,0,-9.69,28.88,0.3.43,372,3600,0,0
2020-11-01 13:00:28,1241229,479,1157,6,5.73,5.42,6,5.73,5.73,11321,3172,,4.19,,2020-11-01 13:00:28,2020-11-01 13:00:28,0,0,,-53,20,0,-5.71,24.63,0.3.43,372,3600,0,0
2020-11-01 14:00:56,1241886,479,1157,5,5.86,3.99,5,5.72,5.86,11321,3107,,4.2,,2020-11-01 14:00:56,2020-11-01 14:00:56,0,0,,-52,21,0,-4.26,22.49,0.3.43,372,3600,0,0
2020-11-01 15:00:54,1242506,479,1157,5,5.74,3.9,5,5.6,5.74,11321,3048,,4.19,,2020-11-01 15:00:54,2020-11-01 15:00:54,0,0,,-53,22,0,-6.55,23.22,0.3.43,372,3600,0,0
2020-11-01 16:00:38,1243189,479,1157,3,3.2800000000000002,3.1,3,3.2800000000000002,3.2800000000000002,11322,3153,,4.18,,2020-11-01 16:00:38,2020-11-01 16:00:38,0,0,,-52,23,0,-6.59,23.0,0.3.43,372,3600,0,0
2020-11-01 17:00:24,1243830,479,1157,4,4.5,4.26,4,4.5,4.5,11321,3183,,4.17,,2020-11-01 17:00:24,2020-11-01 17:00:24,0,0,,-52,24,0,-9.09,25.11,0.3.43,372,3600,0,0
2020-11-01 18:00:02,1244292,479,1157,5,5.78,4.8,5,5.72,5.78,11321,3050,,4.17,,2020-11-01 18:00:02,2020-11-01 18:00:02,0,0,,-52,25,0,-10.36,26.18,0.3.43,372,3600,0,0
2020-11-01 18:59:51,1244917,479,1157,6,6.32,5.98,6,6.32,6.32,11322,3061,,4.16,,2020-11-01 18:59:51,2020-11-01 18:59:51,0,0,,-52,26,0,-11.03,27.15,0.3.43,372,3600,0,0
